Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,39,0,0,0,0,0,0,48,0,85,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae,0,0,0,0,0,3,0,0,87,156,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae,0,0,0,0,107,0,0,0,0,0,0,0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae,0,0,0,0,0,0,0,0,0,96,0,0
k__Bacteria;p__Proteobacteria;__;__;__,0,0,0,0,0,0,0,3,0,0,49,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae,47,0,0,5,0,0,42,0,179,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,0,0,94,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae,0,0,0,0,0,0,48,0,0,0,0,0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae,0,0,0,0,0,0,0,48,40,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__,0,0,2,0,0,43,0,0,55,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae,0,0,47,0,0,0,0,0,9,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae,0,0,44,0,0,0,0,0,57,0,47,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,0,0,0,24,0,0,0,0,0,0,119,19
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,0,0,0,0,46,0,0,0,0,0,0,0
